antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'item_D_Chairs', 'item_E_Chairs'})","frozenset({'item_C_Chairs', 'item_B_Chairs'})",0.0103359173126615,0.07881136950904392,0.0103359173126615,1.0,12.688524590163935,0.00952132951411841,inf,0.9308093994778068
frozenset({'item_C_Chairs'}),"frozenset({'item_B_Chairs', 'item_D_Chairs', 'item_E_Chairs'})",0.07881136950904392,0.0103359173126615,0.0103359173126615,0.13114754098360656,12.688524590163935,0.00952132951411841,1.1390473404514652,1.0
frozenset({'item_B_Chairs'}),"frozenset({'item_C_Chairs', 'item_D_Chairs', 'item_E_Chairs'})",0.14599483204134367,0.0103359173126615,0.0103359173126615,0.07079646017699115,6.849557522123893,0.008826926800606268,1.0650670604158976,1.0
frozenset({'item_D_Chairs'}),"frozenset({'item_C_Chairs', 'item_B_Chairs', 'item_E_Chairs'})",0.03617571059431524,0.0103359173126615,0.0103359173126615,0.28571428571428575,27.642857142857146,0.009962008159231884,1.3855297157622741,1.0
frozenset({'item_E_Chairs'}),"frozenset({'item_C_Chairs', 'item_B_Chairs', 'item_D_Chairs'})",0.0103359173126615,0.03617571059431524,0.0103359173126615,1.0,27.642857142857146,0.009962008159231884,inf,0.9738903394255874
"frozenset({'item_D_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_C_Copiers'}),0.03875968992248062,0.15633074935400518,0.03875968992248062,1.0,6.396694214876033,0.03270035855217034,inf,0.8776881720430108
"frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_D_Copiers'}),0.03875968992248062,0.09043927648578812,0.03875968992248062,1.0,11.057142857142857,0.03525429160907798,inf,0.946236559139785
"frozenset({'item_D_Copiers', 'item_E_Copiers', 'item_C_Copiers'})",frozenset({'item_B_Copiers'}),0.03875968992248062,0.24289405684754523,0.03875968992248062,1.0,4.117021276595745,0.029345191595056386,inf,0.7876344086021505
"frozenset({'item_D_Copiers', 'item_B_Copiers', 'item_C_Copiers'})",frozenset({'item_E_Copiers'}),0.09043927648578812,0.03875968992248062,0.03875968992248062,0.42857142857142855,11.057142857142857,0.03525429160907798,1.682170542635659,1.0
"frozenset({'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_C_Copiers'})",0.03875968992248062,0.09043927648578812,0.03875968992248062,1.0,11.057142857142857,0.03525429160907798,inf,0.946236559139785
"frozenset({'item_D_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.15633074935400518,0.03875968992248062,1.0,6.396694214876033,0.03270035855217034,inf,0.8776881720430108
"frozenset({'item_C_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.09043927648578812,0.03875968992248062,1.0,11.057142857142857,0.03525429160907798,inf,0.946236559139785
"frozenset({'item_D_Copiers', 'item_B_Copiers'})","frozenset({'item_C_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.03875968992248062,0.03875968992248062,0.42857142857142855,11.057142857142857,0.03525429160907798,1.682170542635659,1.0
"frozenset({'item_C_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_E_Copiers'})",0.15633074935400518,0.03875968992248062,0.03875968992248062,0.24793388429752064,6.396694214876033,0.03270035855217034,1.2781327199931851,1.0
"frozenset({'item_D_Copiers', 'item_C_Copiers'})","frozenset({'item_E_Copiers', 'item_B_Copiers'})",0.09043927648578812,0.03875968992248062,0.03875968992248062,0.42857142857142855,11.057142857142857,0.03525429160907798,1.682170542635659,1.0
frozenset({'item_E_Copiers'}),"frozenset({'item_D_Copiers', 'item_B_Copiers', 'item_C_Copiers'})",0.03875968992248062,0.09043927648578812,0.03875968992248062,1.0,11.057142857142857,0.03525429160907798,inf,0.946236559139785
frozenset({'item_B_Copiers'}),"frozenset({'item_D_Copiers', 'item_E_Copiers', 'item_C_Copiers'})",0.24289405684754523,0.03875968992248062,0.03875968992248062,0.15957446808510636,4.117021276595744,0.029345191595056386,1.1437542930036306,1.0
frozenset({'item_D_Copiers'}),"frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.09043927648578812,0.03875968992248062,0.03875968992248062,0.42857142857142855,11.057142857142857,0.03525429160907798,1.682170542635659,1.0
frozenset({'item_C_Copiers'}),"frozenset({'item_D_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.15633074935400518,0.03875968992248062,0.03875968992248062,0.24793388429752064,6.396694214876033,0.03270035855217034,1.2781327199931851,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_B_Copiers'})",frozenset({'item_D_Copiers'}),0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_D_Copiers'})",frozenset({'item_B_Copiers'}),0.0103359173126615,0.24289405684754523,0.0103359173126615,1.0,4.117021276595745,0.00782538442534837,inf,0.7650130548302873
"frozenset({'item_C_Copiers', 'item_B_Copiers', 'item_D_Copiers'})",frozenset({'item_F_Copiers'}),0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
